fg3a_per_fga_pct,Yyy,vorp,ws_per_48,pos,player,team_id,ows,tov_pct,ts_pct,stl_pct,drb_pct,blk_pct,Xxx,per,orb_pct,dws,season,usg_pct,link,ast_pct,obpm,fta_per_fga_pct,bpm,g,age,dbpm,pseudo,mp,trb_pct,ws
.143,,0.4,.036,SF,James Johnson,TOT,-0.1,19.3,.505,2.1,15.4,3.4,,12.6,5.2,0.8,10/11,18.2,j/johnsja01.html,16.4,-1.9,.300,0.0,38,23,1.9,johnsja01,822,10.2,0.6
.220,,0.0,-0.014,SF,James Johnson,CHI,-0.4,27.8,.449,3.5,16.7,5.6,,8.8,5.9,0.3,10/11,24.2,j/johnsja01.html,18.1,-6.3,.317,-1.2,13,23,5.1,johnsja01,123,11.4,0.0
.128,,0.4,.044,SF,James Johnson,TOR,0.2,17.2,.517,1.8,15.1,3.0,,13.2,5.1,0.4,10/11,17.1,j/johnsja01.html,16.1,-1.1,.296,0.3,25,23,1.3,johnsja01,699,10.0,0.6
.258,,1.2,.080,SG,Joe Johnson,ATL,2.5,10.3,.517,1.0,10.9,0.2,,16.4,2.8,1.8,10/11,26.3,j/johnsjo02.html,24.0,1.6,.209,-0.2,72,29,-1.8,johnsjo02,2554,6.9,4.2
.091,,-0.1,-0.009,SG,Trey Johnson,TOT,0.0,11.8,.455,0.5,6.5,0.8,,8.3,2.5,0.0,10/11,20.2,j/johnstr01.html,17.4,-3.7,.303,-7.6,8,26,-4.0,johnstr01,94,4.4,0.0
.100,,-0.1,-0.048,SG,Trey Johnson,TOR,-0.1,13.0,.418,0.6,7.5,0.9,,7.0,2.9,0.0,10/11,21.3,j/johnstr01.html,20.2,-4.4,.267,-8.3,7,26,-3.9,johnstr01,81,5.1,-0.1
.000,,0.0,.230,SG,Trey Johnson,LAL,0.1,0.0,.773,0.0,0.0,0.0,,16.2,0.0,0.0,10/11,13.6,j/johnstr01.html,0.0,0.8,.667,-3.7,1,26,-4.5,johnstr01,13,0.0,0.1
.424,,0.2,.030,SG,Wesley Johnson,MIN,0.4,11.6,.491,1.4,10.4,2.0,,10.2,2.7,0.9,10/11,16.8,j/johnswe01.html,11.0,-1.1,.135,-1.6,79,23,-0.4,johnswe01,2069,6.4,1.3
.182,,-0.2,.102,SG,Dahntay Jones,IND,0.6,10.9,.558,1.7,11.4,0.9,,13.7,0.8,0.6,10/11,21.4,j/jonesda02.html,9.5,-1.7,.421,-3.1,45,30,-1.4,jonesda02,589,6.1,1.2
.089,,0.0,.007,SG,Dominique Jones,DAL,-0.2,16.0,.400,1.9,15.9,1.7,,10.6,5.4,0.2,10/11,21.7,j/jonesdo02.html,20.8,-5.1,.378,-3.4,18,22,1.7,jonesdo02,135,10.8,0.0
