pseudo,salary11,salary10,salary13,salary12,salary15,salary14,salary08,salary09,salary06,salary07,salary05
thomais02,,,"$762,195","$473,604","$7,238,606","$884,293",,,,,
dickada01,,,,,,,"$926,678",,"$2,250,000","$2,753,218","$893,400"
fieldla01,"$473,604",,"$6,250,000","$762,195","$6,250,000","$6,250,000",,,,,
capelca01,,,,,"$1,189,200",,,,,,
tuckeal02,,"$1,071,720",,,,,"$931,920","$1,001,880",,,
davisjo02,,,,"$314,041",,,,,"$17,546",,"$620,046"
jeffeot01,,,,,,,,,,,
mulleby01,"$1,204,200","$1,120,200","$2,253,306","$1,288,200",,"$947,907",,,,,
veselja01,,,"$3,294,960","$3,065,040",,"$3,340,920",,,,,
novakst01,"$350,179","$855,189","$4,054,055","$992,680","$3,445,946","$3,750,000","$687,456","$797,581",,"$600,000",
dentmju01,,,,,,,,,,,
zelleco01,,,,,"$4,030,560","$3,857,040",,,,,
humphkr01,"$3,200,000","$3,200,000","$12,000,000","$8,000,000","$4,300,000","$12,000,000","$2,522,913","$3,200,000","$1,592,400","$1,703,520","$1,481,400"
ellismo01,"$11,000,000","$11,000,000","$11,000,000","$11,000,000","$8,360,000","$8,000,000","$770,610","$11,000,000","$448,762","$664,209",
johnsch03,"$27,859",,"$447,298","$762,195",,"$916,099",,,,,
johnsda03,,,"$192,228",,,,,,,,
brunsri01,,,,,,,,,"$1,029,873",,"$932,546"
augusja01,,,,,,,"$687,456",,,"$412,718",
drumman01,,,"$2,356,320",,"$2,568,360","$2,462,400",,,,,
bakervi01,,,,,,,,,"$3,850,000","$86,221","$3,500,000"
kiddgmi01,,,"$4,602,720",,"$5,016,960","$4,809,840",,,,,
holidju01,,,,,"$816,482",,,,,,
masseto01,,,,,,,,,,,"$1,100,000"
redicjj01,"$7,250,000","$2,839,408","$6,190,000","$6,750,000","$6,583,500","$6,300,000","$2,000,160","$2,139,720",,"$1,860,720",
bartowi01,,,"$550,000",,"$915,243","$788,872",,,,,
whitero02,,,,,,,,,,,"$1,797,845"
woltena01,,,,,"$96,056",,,,,,
griffta01,,"$457,588",,,,,,,,,
harrite01,,,"$186,656","$473,604",,,,,,,
johnsch04,,,"$61,290",,"$107,674",,,,,,
ricegl02,,,,,"$400,000",,,,,,
dalemsa01,"$13,428,129","$12,025,694","$6,698,565","$7,000,000","$3,867,282","$3,700,748","$10,250,000","$11,238,564","$8,470,000","$9,464,307","$1,599,549"
marblde01,,,,,"$884,879",,,,,,
chandty01,"$12,600,000","$11,850,000","$13,604,188","$13,107,837","$14,598,888","$14,100,538","$10,250,000","$11,350,000","$9,000,000","$9,150,000","$4,801,102"
georgde01,,"$1,600,000",,,,,"$2,369,111","$1,600,000","$5,000,600","$1,974,259","$4,546,000"
antetgi01,,,,,"$1,873,200","$1,792,560",,,,,
alexaco01,,,,,,,,,,,
earlycl01,,,,,"$507,336",,,,,,
thomajo02,,,,,,,,,"$103,443",,
patteru01,,,,,,,"$304,897",,"$6,353,200","$6,807,000","$5,899,400"
fortsda01,,,,,,,,,"$6,207,670","$6,596,990","$5,818,136"
hitero01,,,,,,,,,,"$412,718",
ayongu01,,,"$1,500,000","$1,567,500",,"$1,500,000",,,,,
burleke01,,,,,,,,,"$398,762","$70,000",
johnser02,,,,,,,,,"$1,138,500",,"$4,837,633"
marshke01,,,"$1,919,160",,"$915,243","$2,005,560",,,,,
davisri01,,"$2,484,000",,,,,"$6,819,000","$2,300,000","$5,909,800","$6,364,400","$5,455,200"
